bag,chest,foot,hand,head,neck,ring,waist,weapon
1287,Linen Robe of Reflection,Divine Slippers of Power,Studded Leather Gloves,Crown,Amulet,Titanium Ring,Hard Leather Belt,Long Sword
1288,Linen Robe of Protection,Leather Boots,"""Corpse Tear"" Heavy Gloves of Vitriol",Cap of Titans,Amulet of Fury,Silver Ring,Ornate Belt,Katana of Protection
1289,Silk Robe,Hard Leather Boots,Ornate Gauntlets,Hood,"""Morbid Glow"" Amulet of Giants",Silver Ring,Leather Belt,Maul
1290,Ring Mail,Demonhide Boots of Giants,"""Dusk Whisper"" Studded Leather Gloves of the Fox",Hood of Brilliance,Amulet,Gold Ring,Dragonskin Belt,Falchion of the Fox
1291,Demon Husk,Silk Slippers,Divine Gloves,Hood,Necklace,Silver Ring,"""Dread Moon"" Silk Sash of Brilliance +1",Bone Wand of Power
1292,Studded Leather Armor of Fury,Chain Boots of Titans,"""Ghoul Root"" Linen Gloves of Detection",Hood,Pendant,Bronze Ring,Leather Belt,Grave Wand of Rage
1293,Dragonskin Armor,Heavy Boots of Rage,Ornate Gauntlets,Helm,Pendant,Titanium Ring,Sash,Chronicle of Brilliance
1294,Dragonskin Armor,Heavy Boots,Silk Gloves of Fury,Hood,Necklace,Silver Ring,Silk Sash,Warhammer of Titans
1295,Chain Mail,Greaves,Leather Gloves of Anger,"""Dusk Roar"" Helm of the Fox",Amulet,Platinum Ring,Mesh Belt of Rage,Chronicle
1296,Leather Armor,Heavy Boots,Leather Gloves,Demon Crown,Amulet,Gold Ring,Dragonskin Belt,Wand
1297,Leather Armor,Heavy Boots of Enlightenment,Holy Gauntlets,Linen Hood,Necklace,Titanium Ring,"""Kraken Shout"" Silk Sash of Detection +1",Mace
1298,Divine Robe of Brilliance,Dragonskin Boots,Demon's Hands,Linen Hood,"""Golem Root"" Amulet of Detection",Gold Ring of the Fox,Plated Belt,Grave Wand of Rage
1299,Demon Husk,Chain Boots,Demon's Hands,Ancient Helm,Necklace of Vitriol,Silver Ring of the Twins,War Belt,Mace
1300,Hard Leather Armor of Vitriol,Wool Shoes,Studded Leather Gloves,Leather Cap,Pendant,Silver Ring,"""Tempest Moon"" Sash of Giants +1","""Light's Root"" Quarterstaff of Brilliance"
1301,Chain Mail,Studded Leather Boots,Hard Leather Gloves of Detection,War Cap,Pendant of Reflection,Platinum Ring,Wool Sash,Long Sword of Anger
1302,Divine Robe,Studded Leather Boots,Ornate Gauntlets,Helm,Pendant,Gold Ring,Mesh Belt,Short Sword
1303,Leather Armor of the Twins,Silk Slippers,Chain Gloves,Leather Cap of the Twins,Amulet,Bronze Ring,Brightsilk Sash,Katana
1304,Holy Chestplate,"""Dragon Roar"" Divine Slippers of the Fox",Hard Leather Gloves,Hood,Necklace,"""Dragon Glow"" Platinum Ring of the Twins",Plated Belt,Long Sword
1305,Studded Leather Armor,Dragonskin Boots,Divine Gloves,"""Corruption Bender"" Divine Hood of Perfection +1",Necklace,Silver Ring,Sash,Falchion
1306,Hard Leather Armor of Rage,Wool Shoes,Leather Gloves of Anger,Silk Hood,Pendant,Titanium Ring,Wool Sash of the Fox,Club
1307,"""Death Sun"" Shirt of Power",Shoes,Leather Gloves,Demon Crown,Necklace,Titanium Ring,Mesh Belt of Titans,Book
1308,Ring Mail,Linen Shoes of Skill,Gloves of Titans,Ancient Helm,Pendant of Detection,Titanium Ring,Linen Sash,Ghost Wand
1309,Ornate Chestplate of Anger,"""Maelstrom Sun"" Linen Shoes of Fury",Ornate Gauntlets,Helm,Pendant,Gold Ring,Wool Sash of Titans,Long Sword
1310,Shirt,Demonhide Boots,Linen Gloves,Helm of Enlightenment,Pendant,Titanium Ring,Silk Sash,Short Sword
1311,Leather Armor,Silk Slippers,Chain Gloves,Helm,Pendant,Platinum Ring,Wool Sash of Enlightenment,Scimitar
1312,Robe,Holy Greaves,Divine Gloves of Giants,Hood of Power,Amulet,Silver Ring,Wool Sash of Titans,"""Vortex Whisper"" Ghost Wand of the Fox"
1313,Demon Husk,Chain Boots,Chain Gloves,War Cap,"""Ghoul Tear"" Amulet of Protection",Bronze Ring of Brilliance,Wool Sash,Katana
1314,"""Brimstone Peak"" Demon Husk of Anger +1",Shoes,Linen Gloves,"""Bramble Root"" War Cap of Skill",Necklace of Protection,Gold Ring,Dragonskin Belt,Falchion
1315,Robe,Ornate Greaves,Wool Gloves,Ancient Helm of Enlightenment,Pendant,Titanium Ring,Wool Sash,Katana
1316,"""Maelstrom Tear"" Shirt of Protection",Wool Shoes of Reflection,Chain Gloves,Great Helm,Necklace,Bronze Ring,Hard Leather Belt,"""Tempest Shout"" Grave Wand of Protection +1"
1317,Ornate Chestplate,Linen Shoes,Gloves,Ancient Helm of Giants,Amulet,Titanium Ring,Heavy Belt,Wand of Protection
1318,Silk Robe,Heavy Boots,Hard Leather Gloves of Giants,Crown of the Twins,Pendant,Platinum Ring of Anger,Dragonskin Belt of Rage,Short Sword
1319,Robe,"""Brimstone Bender"" Silk Slippers of Perfection +1",Linen Gloves,Full Helm,Amulet,Titanium Ring,Ornate Belt,Scimitar
1320,Demon Husk of Anger,Dragonskin Boots of Titans,Holy Gauntlets,"""Gloom Peak"" Leather Cap of Titans +1",Necklace,Platinum Ring,Heavy Belt,Grimoire of Reflection
1321,Ornate Chestplate,Holy Greaves,Holy Gauntlets,"""Victory Bite"" Divine Hood of Perfection +1",Necklace,Titanium Ring,Leather Belt of Power,"""Demon Moon"" Book of Rage +1"
1322,Demon Husk,Leather Boots,Dragonskin Gloves,Hood,Amulet,Bronze Ring,Leather Belt of Fury,Chronicle
1323,Hard Leather Armor,Ornate Greaves,Ornate Gauntlets,Divine Hood,"""Havoc Roar"" Amulet of Reflection",Titanium Ring,Wool Sash,Ghost Wand
1324,Holy Chestplate,Shoes,Chain Gloves,"""Bramble Tear"" Crown of Protection",Amulet,Platinum Ring of Vitriol,"""Cataclysm Peak"" Silk Sash of Anger +1","""Storm Sun"" Tome of the Fox"
1325,"""Eagle Bender"" Linen Robe of Titans +1",Studded Leather Boots of Anger,Studded Leather Gloves,Helm,Amulet,Platinum Ring,Linen Sash,Wand
1326,Dragonskin Armor,Holy Greaves,Gauntlets,Divine Hood,Amulet,Titanium Ring,Wool Sash,Mace of Giants
1327,Demon Husk,Dragonskin Boots,Chain Gloves,"""Plague Roar"" Helm of Enlightenment",Pendant,Bronze Ring,Leather Belt,Club of Power
1328,Demon Husk,Leather Boots,"""Storm Sun"" Studded Leather Gloves of Reflection",Linen Hood,"""Demon Moon"" Pendant of Detection +1",Gold Ring of Protection,Plated Belt,Quarterstaff
1329,Divine Robe,Leather Boots of Detection,"""Vengeance Roar"" Divine Gloves of the Fox","""Eagle Bender"" Hood of the Fox +1",Necklace of Reflection,Silver Ring,Studded Leather Belt,Wand
1330,Studded Leather Armor,Greaves,"""Tempest Moon"" Gloves of Brilliance +1",Great Helm,Necklace,Titanium Ring of Rage,Brightsilk Sash,Katana
1331,Shirt,Dragonskin Boots,Gloves,Divine Hood of Vitriol,Necklace,Silver Ring of Perfection,Hard Leather Belt,Katana of Skill
1332,Ornate Chestplate,"""Sorrow Shout"" Shoes of Skill +1",Demon's Hands,Full Helm,Pendant,Platinum Ring,"""Woe Shout"" Demonhide Belt of the Twins +1",Chronicle
1333,Hard Leather Armor of Detection,Heavy Boots,Wool Gloves of Perfection,Demon Crown,Amulet,Titanium Ring,Wool Sash,Quarterstaff
1334,Hard Leather Armor,Chain Boots of Enlightenment,Heavy Gloves,Crown,Necklace,Bronze Ring,Studded Leather Belt,Quarterstaff
1335,Ornate Chestplate,Wool Shoes,Gauntlets,Great Helm,Pendant of Vitriol,Silver Ring of Brilliance,Plated Belt of Fury,Grimoire of Reflection
1336,Dragonskin Armor,Silk Slippers of Enlightenment,Gauntlets,Cap,Amulet of the Fox,Platinum Ring,War Belt of Brilliance,Falchion
1337,Divine Robe,"""Foe Peak"" Shoes of Reflection +1",Divine Gloves,Full Helm,Necklace,Titanium Ring,Ornate Belt,Falchion of Reflection
1338,Plate Mail of Brilliance,Holy Greaves,Silk Gloves,Cap,Necklace,Gold Ring,Mesh Belt,Grave Wand
1339,Chain Mail,Leather Boots,"""Death Tear"" Divine Gloves of Giants",Silk Hood,Pendant,"""Blight Grasp"" Gold Ring of the Twins +1",Linen Sash,Book
1340,Robe of Anger,Divine Slippers of Skill,Gauntlets of Skill,Great Helm of Perfection,Pendant of Perfection,Titanium Ring,Silk Sash of Enlightenment,"""Maelstrom Sun"" Tome of Enlightenment"
1341,Divine Robe of Rage,Linen Shoes,Heavy Gloves,Demon Crown,"""Hypnotic Tear"" Amulet of Vitriol",Gold Ring,Silk Sash,Short Sword
1342,Divine Robe,Greaves,Linen Gloves,Leather Cap,Pendant of Skill,"""Woe Shout"" Silver Ring of Vitriol +1",Silk Sash,"""Tempest Grasp"" Katana of the Twins +1"
1343,Plate Mail,Dragonskin Boots,Gauntlets,Linen Hood of Skill,Necklace,Gold Ring,Ornate Belt,Bone Wand of Titans
1344,Demon Husk,Divine Slippers,Heavy Gloves of Skill,Cap,Amulet,Platinum Ring,Brightsilk Sash,Long Sword
1345,Silk Robe,Demonhide Boots,Gauntlets,Ornate Helm,Pendant,Silver Ring,Plated Belt,Long Sword
1346,Demon Husk,Dragonskin Boots,Demon's Hands,Crown,Pendant of Rage,Gold Ring,Mesh Belt,Ghost Wand
1347,Holy Chestplate,Divine Slippers of Detection,Wool Gloves,Hood,Necklace of Titans,Platinum Ring,Wool Sash,Falchion
1348,"""Bramble Tear"" Chain Mail of Skill",Holy Greaves of Power,Holy Gauntlets,Silk Hood,"""Bramble Tear"" Amulet of Skill",Bronze Ring,"""Woe Moon"" Demonhide Belt of the Twins +1",Grimoire
1349,Plate Mail of Anger,Leather Boots of Titans,Silk Gloves,Crown,Pendant,Silver Ring,Studded Leather Belt of Perfection,Warhammer
1350,Demon Husk,Greaves,Leather Gloves of Power,Helm,Pendant,Platinum Ring,Sash of Fury,Warhammer
1351,Shirt,Ornate Greaves,Holy Gauntlets,Helm,Pendant,Platinum Ring,Wool Sash,Grimoire of the Fox
1352,Chain Mail,Heavy Boots,Holy Gauntlets,Leather Cap,Pendant,"""Skull Moon"" Bronze Ring of Detection +1","""Skull Moon"" Plated Belt of Detection +1",Katana
1353,Dragonskin Armor,"""Fate Glow"" Linen Shoes of Brilliance",Holy Gauntlets,War Cap,Amulet,Titanium Ring,Dragonskin Belt,Grimoire
1354,Leather Armor,Dragonskin Boots of Rage,Divine Gloves,"""Cataclysm Grasp"" Divine Hood of Brilliance +1",Necklace,Bronze Ring of Titans,Mesh Belt,Club
1355,Divine Robe of Fury,"""Oblivion Shout"" Hard Leather Boots of Skill +1",Divine Gloves,Hood,Amulet,Platinum Ring,Dragonskin Belt,Bone Wand
1356,Leather Armor of Skill,Ornate Greaves,Chain Gloves of Rage,Hood of the Twins,Pendant,Silver Ring,Silk Sash,Short Sword
1357,Shirt,Holy Greaves,Holy Gauntlets,Ancient Helm,Necklace,Bronze Ring,Heavy Belt,Bone Wand
1358,Robe of Power,Silk Slippers,"""Soul Sun"" Divine Gloves of Enlightenment",Leather Cap,Pendant,Titanium Ring of Giants,"""Vortex Tear"" Heavy Belt of Brilliance",Ghost Wand
1359,Ornate Chestplate,Studded Leather Boots,Dragonskin Gloves,Cap,Pendant,Gold Ring,Ornate Belt of Perfection,"""Apocalypse Root"" Quarterstaff of Vitriol"
1360,Holy Chestplate,Greaves,Ornate Gauntlets of Reflection,Hood,Pendant of Vitriol,Gold Ring,Heavy Belt,Grave Wand
1361,Ring Mail,Wool Shoes,Demon's Hands,Leather Cap,"""Eagle Bite"" Pendant of Perfection +1","""Carrion Roar"" Platinum Ring of Reflection",Linen Sash,Warhammer
1362,Divine Robe,Shoes,Studded Leather Gloves,"""Ghoul Root"" War Cap of Detection","""Light's Tear"" Amulet of Giants",Titanium Ring of Enlightenment,Plated Belt,Bone Wand of the Fox
1363,Holy Chestplate,Chain Boots,Chain Gloves,War Cap of Enlightenment,Pendant,Platinum Ring,Brightsilk Sash of Perfection,Grimoire
1364,Plate Mail of Power,Hard Leather Boots,Divine Gloves,Silk Hood,Amulet,"""Pain Sun"" Platinum Ring of Perfection",Mesh Belt,Bone Wand of Fury
1365,Ornate Chestplate,Silk Slippers,Gloves,"""Apocalypse Sun"" Linen Hood of Enlightenment",Pendant,Platinum Ring,Demonhide Belt,Book
1366,Chain Mail of Giants,Chain Boots,Heavy Gloves,Ancient Helm,Amulet,Silver Ring,Hard Leather Belt,Tome of the Fox
1367,Shirt,"""Woe Moon"" Greaves of Rage +1",Dragonskin Gloves of Rage,Great Helm,Necklace of Protection,Gold Ring,War Belt,Katana
1368,Leather Armor of Titans,Demonhide Boots,Demon's Hands of the Fox,Divine Hood of Skill,"""Cataclysm Bite"" Pendant of Power +1","""Blight Bender"" Gold Ring of Perfection +1",Linen Sash,"""Woe Grasp"" Katana of Detection +1"
1369,Chain Mail of Perfection,Linen Shoes,Gauntlets,Full Helm,Amulet,Gold Ring,Ornate Belt,Grimoire of Fury
1370,Divine Robe of Perfection,Hard Leather Boots of Perfection,Ornate Gauntlets,"""Cataclysm Moon"" Leather Cap of Rage +1",Amulet,Silver Ring,Leather Belt,"""Maelstrom Sun"" Tome of Fury"
1371,Dragonskin Armor,Shoes,Holy Gauntlets,"""Morbid Glow"" Crown of the Twins",Necklace,Gold Ring,Studded Leather Belt,Katana
1372,"""Rune Tear"" Studded Leather Armor of Detection",Wool Shoes,"""Carrion Roar"" Linen Gloves of Reflection",Dragon's Crown,Necklace,Gold Ring,Ornate Belt,Mace
1373,Silk Robe,Holy Greaves,"""Victory Moon"" Gauntlets of Vitriol +1",Hood of Reflection,Amulet,Gold Ring,Sash,Scimitar
1374,Silk Robe,Shoes,Hard Leather Gloves,Demon Crown,Necklace of Vitriol,"""Morbid Root"" Platinum Ring of Protection","""Plague Whisper"" Linen Sash of the Fox",Bone Wand
1375,Dragonskin Armor of Perfection,Ornate Greaves of Rage,Holy Gauntlets,Great Helm,"""Demon Peak"" Pendant of Reflection +1",Titanium Ring,Ornate Belt of Titans,Tome
1376,Silk Robe,Demonhide Boots,Demon's Hands,Linen Hood,Necklace,Platinum Ring of Fury,Plated Belt,"""Foe Peak"" Grimoire of Power +1"
1377,Dragonskin Armor,Ornate Greaves,Dragonskin Gloves of Anger,Linen Hood,Necklace,"""Kraken Bite"" Gold Ring of Reflection +1",Silk Sash,Long Sword
1378,Linen Robe,Demonhide Boots,"""Tempest Grasp"" Hard Leather Gloves of Rage +1",Crown,Necklace,"""Brimstone Bite"" Platinum Ring of Power +1",Linen Sash,Short Sword
1379,Shirt of Rage,Ornate Greaves,Gauntlets,Full Helm of Power,Amulet of Perfection,Bronze Ring,Wool Sash,Bone Wand of Fury
1380,Ring Mail,Demonhide Boots,Hard Leather Gloves,War Cap,Amulet,Gold Ring,Wool Sash,Grimoire
1381,Plate Mail,Divine Slippers,Silk Gloves,Ornate Helm of Fury,Necklace of Brilliance,Bronze Ring,"""Mind Peak"" Hard Leather Belt of Fury +1",Falchion
1382,Shirt,Wool Shoes,"""Pandemonium Moon"" Gauntlets of Skill +1",Ornate Helm,Amulet of Perfection,"""Pandemonium Grasp"" Platinum Ring of Giants +1",Hard Leather Belt,Bone Wand
1383,Chain Mail,Leather Boots of the Twins,Leather Gloves,Linen Hood,Necklace,Titanium Ring of Perfection,Mesh Belt,"""Fate Glow"" Scimitar of Vitriol"
1384,Silk Robe,Hard Leather Boots of Perfection,Dragonskin Gloves,Ancient Helm,Pendant,Bronze Ring of Reflection,War Belt of the Twins,Scimitar
1385,Divine Robe,Chain Boots,Gauntlets,Demon Crown,Necklace,Platinum Ring,Hard Leather Belt,Tome of the Fox
1386,Demon Husk,Demonhide Boots of Reflection,"""Cataclysm Shout"" Gauntlets of Giants +1",Great Helm of Reflection,Amulet,Silver Ring,Linen Sash of Power,Warhammer
1387,Shirt,Wool Shoes,Studded Leather Gloves,Full Helm of Skill,Amulet,Bronze Ring,Plated Belt of Detection,Mace
1388,Demon Husk of Enlightenment,Linen Shoes,Wool Gloves,Crown,Pendant,Platinum Ring,War Belt,Grave Wand
1389,Linen Robe,Studded Leather Boots,Divine Gloves,Great Helm,Necklace,Platinum Ring,Demonhide Belt,Mace
1390,Linen Robe,Greaves,Linen Gloves,Hood,Amulet,Platinum Ring,"""Sorrow Shout"" Hard Leather Belt of the Twins +1",Scimitar
1391,Holy Chestplate of Titans,Studded Leather Boots of Anger,Divine Gloves,Ancient Helm,Amulet of Vitriol,"""Blight Bite"" Silver Ring of Anger +1",War Belt,Maul
1392,Holy Chestplate,Chain Boots,Ornate Gauntlets,Full Helm,Pendant,Platinum Ring of Reflection,Wool Sash,Maul
1393,Leather Armor,Chain Boots of Protection,Holy Gauntlets,Helm,Pendant,Platinum Ring,Linen Sash,"""Pandemonium Bite"" Maul of the Fox +1"
1394,"""Kraken Bender"" Ring Mail of Perfection +1",Chain Boots,Hard Leather Gloves,Hood,Amulet,"""Sorrow Bender"" Platinum Ring of Enlightenment +1",Wool Sash,Long Sword of Titans
1395,Dragonskin Armor,Leather Boots of the Fox,Ornate Gauntlets,Silk Hood,Amulet,Platinum Ring of Detection,Sash,Ghost Wand
1396,Robe of Detection,Dragonskin Boots,Wool Gloves,"""Tempest Shout"" Hood of Vitriol +1",Necklace,Gold Ring,Linen Sash,"""Dragon Root"" Quarterstaff of the Twins"
1397,Ring Mail,Silk Slippers,Chain Gloves,Divine Hood,Pendant,Platinum Ring,Mesh Belt of Perfection,Mace
1398,Linen Robe,Holy Greaves of the Twins,"""Maelstrom Tear"" Heavy Gloves of Skill",Cap,Pendant,Platinum Ring,Linen Sash,Maul
1399,Ornate Chestplate,Dragonskin Boots of Perfection,Gloves,Divine Hood,Necklace,Silver Ring of the Twins,Hard Leather Belt,Maul
1400,Chain Mail,Greaves,Ornate Gauntlets,Crown,Necklace,Silver Ring,Linen Sash,Bone Wand
1401,Hard Leather Armor,Holy Greaves,Silk Gloves,Crown of Detection,Necklace,Titanium Ring of Brilliance,Mesh Belt,Scimitar of Giants
1402,Linen Robe,Hard Leather Boots,Holy Gauntlets,Ornate Helm,Amulet of Titans,Bronze Ring of Perfection,"""Soul Sun"" Brightsilk Sash of Reflection",Maul
1403,Shirt of Anger,Greaves,Silk Gloves,Cap of Protection,Pendant of the Fox,Bronze Ring,"""Brimstone Grasp"" Sash of Protection +1",Short Sword
1404,Linen Robe of Protection,Chain Boots,Silk Gloves,Demon Crown,Pendant of Giants,Platinum Ring,Hard Leather Belt,Quarterstaff
1405,Leather Armor,Dragonskin Boots,"""Kraken Bender"" Demon's Hands of Perfection +1",Great Helm,Amulet of Reflection,Platinum Ring,Brightsilk Sash,Wand
1406,Ornate Chestplate,"""Woe Peak"" Greaves of Fury +1",Demon's Hands of Detection,Hood,Necklace,Platinum Ring,Silk Sash,Warhammer
1407,Divine Robe,Chain Boots,Demon's Hands,Ancient Helm,Necklace of Brilliance,Platinum Ring,Ornate Belt of Rage,Wand
1408,Leather Armor of Protection,Demonhide Boots,Gloves,Great Helm of Anger,Necklace,Bronze Ring,Studded Leather Belt,Wand of Protection
1409,Holy Chestplate of Protection,Silk Slippers,Gloves of Brilliance,Cap,Necklace,Titanium Ring of the Fox,Studded Leather Belt,Book
1410,Chain Mail,Linen Shoes of Protection,"""Vortex Roar"" Linen Gloves of Power",Ancient Helm,Necklace of Reflection,Titanium Ring,Brightsilk Sash,Scimitar
1411,Linen Robe,Silk Slippers,Dragonskin Gloves,Ancient Helm,Necklace,Silver Ring,Sash of Vitriol,Short Sword
1412,Robe,Leather Boots of Giants,Silk Gloves,Crown,Necklace,Platinum Ring of Brilliance,Linen Sash,"""Light's Roar"" Club of Reflection"
1413,Robe of Protection,Silk Slippers,Heavy Gloves,Linen Hood,Amulet,Bronze Ring of Detection,Brightsilk Sash of Detection,"""Brimstone Bite"" Maul of Enlightenment +1"
1414,Shirt,Hard Leather Boots,Demon's Hands,Hood,Necklace,Silver Ring,Leather Belt of Protection,Book
1415,Plate Mail,Linen Shoes,Studded Leather Gloves,Divine Hood,Pendant,Silver Ring,Leather Belt of the Fox,Club
1416,Robe,Leather Boots,"""Morbid Sun"" Divine Gloves of Anger",Ornate Helm,Amulet,Silver Ring,Wool Sash of Vitriol,Grave Wand
1417,Ornate Chestplate,Demonhide Boots,Linen Gloves,Hood of Titans,"""Vortex Roar"" Amulet of Perfection",Silver Ring,Dragonskin Belt,Maul
1418,Robe,Greaves,Demon's Hands,Leather Cap,Pendant,Platinum Ring,Sash,Long Sword
1419,Leather Armor,Silk Slippers,Studded Leather Gloves,Demon Crown,Pendant,Silver Ring,Plated Belt,Bone Wand
1420,Dragonskin Armor,Silk Slippers,Dragonskin Gloves,Divine Hood,Amulet,Platinum Ring,Linen Sash,Maul
1421,Dragonskin Armor,"""Corruption Moon"" Shoes of Giants +1",Gloves,Helm,Amulet,Silver Ring of Reflection,Dragonskin Belt,Grave Wand
1422,Hard Leather Armor of the Twins,Silk Slippers,Heavy Gloves,Ornate Helm of Titans,Pendant,Platinum Ring of Vitriol,Brightsilk Sash,Chronicle
1423,Silk Robe of the Twins,"""Bramble Whisper"" Heavy Boots of the Fox",Chain Gloves,"""Skull Grasp"" Demon Crown of Skill +1",Pendant,Platinum Ring,Brightsilk Sash,Katana
1424,Robe,Wool Shoes,Dragonskin Gloves,Dragon's Crown,Amulet of the Fox,Bronze Ring of Vitriol,Heavy Belt,Tome
1425,Hard Leather Armor,Leather Boots,Wool Gloves,Divine Hood,Amulet,Platinum Ring,Leather Belt,Tome
1426,Plate Mail,Greaves,Dragonskin Gloves,Silk Hood of Vitriol,Amulet,Platinum Ring,Brightsilk Sash of Protection,Chronicle
1427,"""Vortex Tear"" Silk Robe of Detection",Divine Slippers,Holy Gauntlets of Perfection,Cap,Necklace,"""Eagle Peak"" Gold Ring of Reflection +1",Sash,Katana of the Twins
1428,Holy Chestplate,Leather Boots,"""Apocalypse Roar"" Divine Gloves of the Fox",Hood,Necklace,Gold Ring,Demonhide Belt of Power,Club
1429,Hard Leather Armor,Wool Shoes,Heavy Gloves of Protection,Demon Crown of Titans,Amulet of Titans,Platinum Ring,Plated Belt,Scimitar
1430,Plate Mail,Divine Slippers,Chain Gloves,Ancient Helm,Amulet,Silver Ring,Dragonskin Belt,Mace
1431,Ring Mail of Detection,Greaves,Heavy Gloves,Full Helm of Giants,Pendant of Reflection,Titanium Ring,Ornate Belt,Falchion of Fury
1432,Robe,Dragonskin Boots,Dragonskin Gloves,Great Helm,"""Kraken Shout"" Pendant of Brilliance +1",Titanium Ring,War Belt,Grave Wand
1433,Divine Robe,Wool Shoes of the Fox,Hard Leather Gloves,Dragon's Crown,Amulet of Enlightenment,Silver Ring,Silk Sash,"""Victory Peak"" Grimoire of Enlightenment +1"
1434,Ring Mail,Wool Shoes,Linen Gloves,Cap,Amulet,Silver Ring,War Belt,Bone Wand
1435,Holy Chestplate,Linen Shoes,Leather Gloves,Linen Hood of the Twins,Amulet,Silver Ring,Heavy Belt,Club
1436,Ornate Chestplate,Holy Greaves,"""Plague Whisper"" Divine Gloves of the Fox",Silk Hood of Anger,Pendant of Skill,Bronze Ring,Brightsilk Sash,Quarterstaff
1437,"""Pain Tear"" Studded Leather Armor of Vitriol",Heavy Boots of Reflection,Gauntlets,Ancient Helm of Protection,Necklace of Giants,Gold Ring,Brightsilk Sash,Ghost Wand
